subject;classifier;model;preprocessing;accuracy
1;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.11268780922731458,                n_estimators=359, random_state=2);(StandardScaler(with_mean=False),);0.677
1;DecisionTree;DecisionTreeClassifier(max_depth=3, max_features=0.8681681079941126,                    max_leaf_nodes=15, random_state=0, splitter='random');(PCA(n_components=2),);0.697
1;KNN;KNeighborsClassifier(leaf_size=37, metric='cityblock', n_jobs=1, n_neighbors=9,                  p=2.366012086859909);(StandardScaler(),);0.717
1;LDA;LinearDiscriminantAnalysis(solver='lsqr', tol=1.9981644610993084e-05);(PCA(n_components=2, whiten=True),);0.737
1;RandomForest;RandomForestClassifier(class_weight='balanced', criterion='entropy',                    max_depth=2, min_samples_leaf=4, n_estimators=1469,                    n_jobs=1, random_state=0, verbose=False);(StandardScaler(with_mean=False),);0.727
1;QDA;QuadraticDiscriminantAnalysis(reg_param=0.3178635667103707,                           tol=6.704249962868875e-05);(MinMaxScaler(feature_range=(-1.0, 1.0)),);0.657
1;SVM;SVC(C=1.127513735976555, coef0=0.4298456965835692, degree=2, gamma='auto', kernel='poly', random_state=4, shrinking=False, tol=0.007538767068029169);(StandardScaler(),);0.747
2;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.3419194881035348,                n_estimators=118, random_state=1);(PCA(n_components=2, whiten=True),);0.798
2;DecisionTree;DecisionTreeClassifier(max_leaf_nodes=5, random_state=4, splitter='random');(StandardScaler(with_mean=False),);0.808
2;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=33, metric='cityblock',                  n_jobs=1, n_neighbors=10, p=4.848697783263624);(StandardScaler(with_mean=False),);0.758
2;LDA;LinearDiscriminantAnalysis(tol=0.000220356805449479);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.808
2;RandomForest;RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                    max_features=0.5072555976579357, min_samples_leaf=31,                    n_estimators=195, n_jobs=1, random_state=3,                    verbose=False);(StandardScaler(with_mean=False),);0.808
